,PC1,PC2,cluster,label,cluster_name
78,0.0909403707765973,-2.0200021058503745,4,medicinal,Camphoraceous & Medicinal
79,2.666670417435789,-1.8466902584203067,8,orris,Minty & Floral
80,1.7705503458542398,-1.1771048395891466,8,muguet,Minty & Floral
81,2.8616713533834797,-0.64280357472305,8,grapefruit,Minty & Floral
82,3.9556134825089457,1.5880128996612464,6,sharp,Fruity & Tropical
83,4.502438764776313,0.7285078094294926,6,grape,Fruity & Tropical
84,3.4615064817052303,1.7421090449040477,6,fermented,Fruity & Tropical
85,3.315209255339191,0.34655567805591686,3,soapy,Fruity & Floral
86,0.80079774215826,0.6994550205311791,0,chocolate,Nutty & Dairy
87,2.040294872891254,1.3761605791553837,0,cucumber,Nutty & Dairy
88,1.0131644910755562,1.1744349357579793,0,brown,Nutty & Dairy
89,4.031003574496633,1.1929653966530356,6,grassy,Fruity & Tropical
90,1.4661315719981356,-2.1471170133460222,4,terpenic,Camphoraceous & Medicinal
91,1.7788685488696065,0.6145792230766297,0,lactonic,Nutty & Dairy
92,4.037056109667934,0.251773774421675,3,plum,Fruity & Floral
93,-3.2901905924754096,2.4569362555913203,9,cooked,Roasted & Sulfurous
94,3.4189065068326188,1.5560193936525628,6,estery,Fruity & Tropical
95,3.3100303101210886,1.559596031057907,6,cognac,Fruity & Tropical
96,0.9202409990559092,-1.7801272997375113,4,cinnamon,Camphoraceous & Medicinal
97,4.73688804035696,0.5653310941894328,3,weedy,Fruity & Floral
98,3.4581787015455343,1.4376283580409066,6,ripe,Fruity & Tropical
99,2.417130881739591,-1.1994341687661487,8,lily,Minty & Floral
100,3.074453510431645,-1.458035076872881,8,lavender,Minty & Floral
101,1.49846110278251,-1.0732646366939922,8,leathery,Minty & Floral
102,2.001220502181567,-1.3779937049545623,8,lemon,Minty & Floral
103,-0.4972411455536856,-2.7290570311088427,4,cedar,Camphoraceous & Medicinal
104,-1.0408218533831077,-0.9737858648829517,2,smoky,Smoky & Woody
105,0.10649789539288791,-0.7825038738104886,4,coumarinic,Camphoraceous & Medicinal
106,3.9986054288384913,-1.2246365346882822,3,hay,Fruity & Floral
107,2.930911116345351,-0.7185474127549946,8,celery,Minty & Floral
108,0.5264420475243436,1.194280213422636,0,bready,Nutty & Dairy
109,-0.4627490410665276,1.8959147283483953,5,fishy,Burnt & Earthy
110,4.068289952985295,-0.16031201996271957,3,raspberry,Fruity & Floral
111,-0.6229865441108492,-1.7545802235491679,4,mentholic,Camphoraceous & Medicinal
112,2.1614089989456224,0.32478918302843035,0,almond,Nutty & Dairy
113,1.9672119211526584,-0.9133471085106352,8,ozone,Minty & Floral
114,1.9020421585055833,1.4935683481358932,0,acidic,Nutty & Dairy
115,-0.20659170063027515,-2.9051395112791454,4,sandalwood,Camphoraceous & Medicinal
116,2.2616331265442797,0.9074728731792346,0,sour,Nutty & Dairy
117,3.4126259944432458,0.36095856747072613,3,strawberry,Fruity & Floral
118,4.147455764996306,1.2786930877639278,6,juicy,Fruity & Tropical
119,3.0285084352725224,-1.2438637173953244,8,anisic,Minty & Floral
120,1.1610713831303976,1.3603775448310949,0,alcoholic,Nutty & Dairy
121,1.340664462819743,-1.8194977530206684,4,hawthorn,Camphoraceous & Medicinal
122,2.5219199468534748,0.463651629332002,0,chemical,Nutty & Dairy
123,2.9541645102487775,-1.5586506536529137,8,bergamot,Minty & Floral
124,-0.6230470587828696,-2.6449145500004536,4,vetiver,Camphoraceous & Medicinal
125,-0.13747073480197958,-2.1478575653519134,4,clove,Camphoraceous & Medicinal
126,3.1605045994258596,0.06045823878472168,3,jammy,Fruity & Floral
